date,value
2004-02-27,1068.648
2004-03-31,1059.157
2004-04-30,1035.657
2004-05-31,1042.626
2004-06-30,1062.514
2004-07-30,1026.991
2004-08-31,1029.631
2004-09-30,1047.861
2004-10-29,1072.698
2004-11-30,1127.339
2004-12-31,1169.341
2005-01-31,1142.35
2005-02-28,1176.703
2005-03-31,1151.184
2005-04-29,1123.642
2005-05-31,1140.677
2005-06-30,1148.813
2005-07-29,1188.165
2005-08-31,1194.807
2005-09-30,1224.314
2005-10-31,1193.88
2005-11-30,1231.412
2005-12-30,1257.775
2006-01-31,1313.214
2006-02-28,1309.451
2006-03-31,1335.069
2006-04-28,1373.384
2006-05-31,1322.246
2006-06-30,1319.934
2006-07-31,1327.233
2006-08-31,1358.872
2006-09-29,1373.368
2006-10-31,1422.926
2006-11-30,1455.166
2006-12-29,1483.578
2007-01-31,1500.232
2007-02-28,1490.44
2007-03-30,1514.181
2007-04-30,1577.86
2007-05-31,1616.871
2007-06-29,1602.36
2007-07-31,1565.811
2007-08-31,1561.585
2007-09-28,1633.576
2007-10-31,1682.351
2007-11-30,1610.942
2007-12-31,1588.803
2008-01-31,1466.346
2008-02-29,1455.56
2008-03-31,1437.403
2008-04-30,1508.988
2008-05-30,1525.726
2008-06-30,1402.129
2008-07-31,1366.699
2008-08-29,1344.862
2008-09-30,1182.443
2008-10-31,957.245
2008-11-28,892.926
2008-12-31,920.226
2009-01-30,838.827
2009-02-27,750.863
2009-03-31,805.216
2009-04-30,893.025
2009-05-29,970.004
2009-06-30,964.048
2009-07-31,1044.753
2009-08-31,1085.599
2009-09-30,1126.985
2009-10-30,1106.17
2009-11-30,1149.007
2009-12-31,1168.468
2010-01-29,1119.537
2010-02-26,1133.348
2010-03-31,1200.53
2010-04-30,1198.564
2010-05-31,1079.801
2010-06-30,1041.323
2010-07-30,1124.826
2010-08-31,1080.699
2010-09-30,1179.194
2010-10-29,1222.226
2010-11-30,1193.558
2010-12-31,1280.071
2011-01-31,1308.083
2011-02-28,1351.647
2011-03-31,1334.925
